"iso3c","Year","gov_norm","gdppc","pop"
"ABW",2020,NA,NA,0.107
"ABW",2021,NA,NA,0.107
"ABW",2022,NA,NA,0.108
"ABW",2023,NA,NA,0.108
"ABW",2024,NA,NA,0.108
"ABW",2025,NA,NA,0.109
"ABW",2026,NA,139.88,0.109203738
"ABW",2027,NA,279.77,0.109407477
"ABW",2028,NA,419.65,0.109611215
"ABW",2029,NA,559.54,0.109814953
"ABW",2030,NA,699.42,0.110018692
"ABW",2035,NA,1734.81,0.110833645
"ABW",2040,NA,3017.31,0.110731776
"ABW",2045,NA,4554.76,0.11022243
"ABW",2050,NA,6396.15,0.109916822
"ABW",2055,NA,8569.88,0.110120561
"ABW",2060,NA,11126.68,0.109713084
"ABW",2065,NA,14136.49,0.110120561
"ABW",2070,NA,17663.98,0.111139252
"ABW",2075,NA,21747.21,0.111750467
"ABW",2080,NA,26466.87,0.112157944
"ABW",2085,NA,31721.85,0.113074766
"ABW",2090,NA,37624.54,0.113685981
"ABW",2095,NA,44214.33,0.113278505
"ABW",2100,NA,51556.74,0.113176636
"AFG",2020,NA,1917.68,38.928
"AFG",2021,NA,1949.54,39.835
"AFG",2022,NA,1991.93,40.754
"AFG",2023,NA,2034.77,41.681
"AFG",2024,NA,2068.75,42.609
"AFG",2025,NA,2103.37,43.532
"AFG",2026,NA,2173.56,44.78150445
"AFG",2027,NA,2243.74,46.0310089
"AFG",2028,NA,2313.93,47.28051335
"AFG",2029,NA,2384.11,48.5300178
"AFG",2030,NA,2454.3,49.77952225
"AFG",2035,NA,2903.24,56.25528311
"AFG",2040,NA,3489.8,62.68830994
"AFG",2045,NA,4249.14,68.99468861
"AFG",2050,NA,5218.57,75.12915991
"AFG",2055,NA,6432.13,80.98518008
"AFG",2060,NA,7929.75,86.41036345
"AFG",2065,NA,9770.23,91.23785301
"AFG",2070,NA,12030.74,95.38256917
"AFG",2075,NA,14776.66,98.82363054
"AFG",2080,NA,18068.61,101.5413212
"AFG",2085,NA,21977.57,103.5619613
"AFG",2090,NA,26564.75,104.8660294
"AFG",2095,NA,31907.38,105.426428
"AFG",2100,NA,38062.25,105.2125636
"AGO",2020,NA,6218.64,32.866
"AGO",2021,NA,6060.01,33.934
"AGO",2022,NA,6023.57,35.027
"AGO",2023,NA,6049.9,36.149
"AGO",2024,NA,6094.25,37.299
"AGO",2025,NA,6146.52,38.478
"AGO",2026,NA,6108.73,39.44604271
"AGO",2027,NA,6070.94,40.41408542
"AGO",2028,NA,6033.15,41.38212812
"AGO",2029,NA,5995.36,42.35017083
"AGO",2030,NA,5957.57,43.31821354
"AGO",2035,NA,5714.85,48.15019932
"AGO",2040,NA,5767.73,52.86137243
"AGO",2045,NA,6307.56,57.35456201
"AGO",2050,NA,7360.28,61.55790535
"AGO",2055,NA,8911.58,65.42890971
"AGO",2060,NA,10956.79,68.92956077
"AGO",2065,NA,13523.75,72.04683993
"AGO",2070,NA,16628.87,74.73877519
"AGO",2075,NA,20302.12,76.95527096
"AGO",2080,NA,24530.1,78.67049833
"AGO",2085,NA,29312.91,79.84644296
"AGO",2090,NA,34698.6,80.4897704
"AGO",2095,NA,40698.2,80.63891154
"AGO",2100,NA,47338.48,80.40738866
"ALB",2020,NA,13222.65,2.85
"ALB",2021,NA,13905.95,2.844
"ALB",2022,NA,14485.28,2.837
"ALB",2023,NA,15088.75,2.828
"ALB",2024,NA,15641.79,2.82
"ALB",2025,NA,16215.1,2.811
"ALB",2026,NA,16573.66,2.792901328
"ALB",2027,NA,16932.22,2.774802657
"ALB",2028,NA,17290.79,2.756703985
"ALB",2029,NA,17649.35,2.738605313
"ALB",2030,NA,18007.91,2.720506642
"ALB",2035,NA,19787.98,2.607189737
"ALB",2040,NA,21609.01,2.47515352
"ALB",2045,NA,23584.18,2.332806666
"ALB",2050,NA,25589.26,2.18455372
"ALB",2055,NA,27690.35,2.033898294
"ALB",2060,NA,29953.87,1.883342972
"ALB",2065,NA,32382.96,1.735390335
"ALB",2070,NA,34950.41,1.591341726
"ALB",2075,NA,37751.44,1.452198177
"ALB",2080,NA,40744.4,1.31956134
"ALB",2085,NA,43835.48,1.195333179
"ALB",2090,NA,47014.49,1.07821235
"ALB",2095,NA,50321.08,0.971001745
"ALB",2100,NA,53816.24,0.873601261
"ARE",2020,NA,61271.12,9.89
"ARE",2021,NA,61292.36,9.991
"ARE",2022,NA,61012.78,10.082
"ARE",2023,NA,60727.13,10.165
"ARE",2024,NA,60445.15,10.245
"ARE",2025,NA,60166.77,10.324
"ARE",2026,NA,61029.27,10.48175475
"ARE",2027,NA,61891.78,10.63950949
"ARE",2028,NA,62754.28,10.79726424
"ARE",2029,NA,63616.78,10.95501899
"ARE",2030,NA,64479.29,11.11277373
"ARE",2035,NA,67433.75,11.88590019
"ARE",2040,NA,71266.27,12.61877731
"ARE",2045,NA,74697.05,13.26474605
"ARE",2050,NA,77763.05,13.78676194
"ARE",2055,NA,81168.75,14.18265698
"ARE",2060,NA,85624.89,14.46063185
"ARE",2065,NA,90834.41,14.63982149
"ARE",2070,NA,96763.03,14.73992637
"ARE",2075,NA,103145.58,14.80279828
"ARE",2080,NA,109936.52,14.87971503
"ARE",2085,NA,116968.64,15.0297781
"ARE",2090,NA,124323.9,15.27598711
"ARE",2095,NA,132023.89,15.59826452
"ARE",2100,NA,140152.34,15.9443899
"ARG",2020,0.53873042432474,19670.57,45.35
"ARG",2021,0.5460177975452,20613,45.758
"ARG",2022,0.550442243743231,20914.09,46.161
"ARG",2023,0.554494943940343,21133.62,46.56
"ARG",2024,0.558232304389763,21282.53,46.953
"ARG",2025,0.56188880484746,21416.13,47.341
"ARG",2026,0.568831046344596,22299.61,47.68915738
"ARG",2027,0.575621371349362,23183.09,48.03731476
"ARG",2028,0.582270227766494,24066.57,48.38547214
"ARG",2029,0.588786941226237,24950.05,48.73362952
"ARG",2030,0.595179871299452,25833.53,49.0817869
"ARG",2035,0.624669010216916,31190.38,50.70962275
"ARG",2040,0.651133312149812,35934.05,52.20269768
"ARG",2045,0.67266751044901,40573.4,53.53820138
"ARG",2050,0.694411818601185,45337.81,54.6994263
"ARG",2055,0.713804693969635,50294.52,55.65966036
"ARG",2060,0.730196307944304,55424.18,56.40169579
"ARG",2065,0.748567302811714,60666.84,56.92293141
"ARG",2070,0.766142998079142,66006.77,57.23257138
"ARG",2075,0.782918890735312,71375.66,57.34862384
"ARG",2080,0.796965856961831,76880.36,57.31220738
"ARG",2085,0.812565682068163,82489.91,57.13832878
"ARG",2090,0.828370665093248,88237.37,56.8487979
"ARG",2095,0.84153381647588,94087.43,56.44701628
"ARG",2100,NA,99985.7,55.94749047
"ARM",2020,0.562647682391526,12619.02,2.963
"ARM",2021,0.566263107651497,12744.76,2.968
"ARM",2022,0.572060807767468,13195.82,2.972
"ARM",2023,0.579277694387637,13886.18,2.975
"ARM",2024,0.58602953457763,14537.66,2.977
"ARM",2025,0.59260169667561,15190.64,2.977
"ARM",2026,0.59748196019233,15598.47,2.961385225
"ARM",2027,0.602290979776733,16006.3,2.945770449
"ARM",2028,0.607031802681891,16414.12,2.930155674
"ARM",2029,0.611707414747549,16821.95,2.914540899
"ARM",2030,0.616320384186923,17229.77,2.898926123
"ARM",2035,0.63739066671335,19175.84,2.812971304
"ARM",2040,0.656615499776412,21130.76,2.727752038
"ARM",2045,0.674872974364259,23096.68,2.642217536
"ARM",2050,0.691385277653279,25020.13,2.551429071
"ARM",2055,0.707217340730133,26967.77,2.45444093
"ARM",2060,0.721669962724412,29156.43,2.355246126
"ARM",2065,0.7378074403458,31697.14,2.258783382
"ARM",2070,0.753272607160909,34281.55,2.16620857
"ARM",2075,0.767375631482393,36891.43,2.076470898
"ARM",2080,0.781319438308798,39720.01,1.990936395
"ARM",2085,0.797228545949716,42778.76,1.91254728
"ARM",2090,0.810762150524836,46047.94,1.843194981
"ARM",2095,0.824577506766214,49430.9,1.785296319
"ARM",2100,NA,52873.46,1.735383679
"ATG",2020,NA,17859.29,0.098
"ATG",2021,NA,17075.07,0.099
"ATG",2022,NA,18831.71,0.1
"ATG",2023,NA,19733.24,0.1
"ATG",2024,NA,20611.69,0.101
"ATG",2025,NA,21132.33,0.102
"ATG",2026,NA,21132.33,0.102441808
"ATG",2027,NA,21132.33,0.102883616
"ATG",2028,NA,21132.33,0.103325424
"ATG",2029,NA,21132.33,0.103767232
"ATG",2030,NA,21132.33,0.10420904
"ATG",2035,NA,19622.88,0.106033898
"ATG",2040,NA,18113.43,0.106418079
"ATG",2045,NA,16603.98,0.106322034
"ATG",2050,NA,15094.52,0.105457627
"ATG",2055,NA,13585.07,0.104305085
"ATG",2060,NA,12075.62,0.102864407
"ATG",2065,NA,10566.17,0.101615819
"ATG",2070,NA,9056.71,0.100271186
"ATG",2075,NA,7547.26,0.098350282
"ATG",2080,NA,6037.81,0.09719774
"ATG",2085,NA,4528.36,0.094988701
"ATG",2090,NA,3018.9,0.093355932
"ATG",2095,NA,1509.45,0.091242938
"ATG",2100,NA,NA,0.089129944
"AUS",2020,0.930142634820935,47906.57,25.65245425
