iso,model
ABW,XLM
AFG,XSA
AGO,XAF
ALB,XER
ARE,XME
ARG,XLM
ARM,CIS
ATG,XLM
AUS,XOC
AUT,XE25
AZE,CIS
BDI,XAF
BEL,XE25
BEN,XAF
BFA,XAF
BGD,XSA
BGR,XER
BHR,XME
BHS,XLM
BIH,XER
BLR,CIS
BLZ,XLM
BMU,XLM
BOL,XLM
BRA,BRA
BRB,XLM
BRN,XSA
BTN,XSA
BWA,XAF
CAF,XAF
CAN,CAN
CHE,XER
CHL,XLM
CHN,CHN
CIV,XAF
CMR,XAF
COD,XAF
COG,XAF
COL,XLM
COM,XAF
CPV,XAF
CRI,XLM
CUB,XLM
CUW,#N/A
CYM,XLM
CYP,XE25
CZE,XE25
DEU,XE25
DJI,XAF
DMA,XLM
DNK,XE25
DOM,XLM
DZA,XNF
ECU,XLM
EGY,XNF
ERI,XAF
ESP,XE25
EST,XE25
ETH,XAF
FIN,XE25
FJI,XSA
FRA,XE25
FSM,XSA
GAB,XAF
GBR,XE25
GEO,CIS
GHA,XAF
GIN,XAF
GMB,XAF
GNB,XAF
GNQ,XAF
GRC,XE25
GRD,XLM
GTM,XLM
GUY,XLM
HKG,CHN
HND,XLM
HRV,XER
HTI,XLM
HUN,XE25
IDN,XSE
IND,IND
IRL,XE25
IRN,XME
IRQ,XME
ISL,XER
ISR,XME
ITA,XE25
JAM,XLM
JOR,XME
JPN,JPN
KAZ,CIS
KEN,XAF
KGZ,CIS
KHM,XSE
KIR,XSA
KNA,XLM
KOR,XSE
KWT,XME
LAO,XSE
LBN,XME
LBR,XAF
LBY,XNF
LCA,XLM
LKA,XSA
LSO,XAF
LTU,XE25
LUX,XE25
LVA,XE25
MAC,#N/A
MAR,XNF
MDA,CIS
MDG,XAF
MDV,XSA
MEX,XLM
MHL,XSA
MKD,XER
MLI,XAF
MLT,XE25
MMR,XSE
MNE,XER
MNG,XSE
MOZ,XAF
MRT,XAF
MUS,XAF
MWI,XAF
MYS,XSE
NAM,XAF
NCL,XSA
NER,XAF
NGA,XAF
NIC,XLM
NLD,XE25
NOR,XER
NPL,XSA
NRU,XSA
NZL,XOC
OMN,XME
PAK,XSA
PAN,XLM
PER,XLM
PHL,XSE
PLW,XSA
PNG,XSA
POL,XE25
PRI,XLM
PRT,XE25
PRY,XLM
PSE,XME
PYF,XSA
QAT,XME
ROU,XER
RUS,CIS
RWA,XAF
SAU,XME
SDN,XAF
SEN,XAF
SGP,XSE
SLB,XSA
SLE,XAF
SLV,XLM
SMR,XER
SOM,XAF
SRB,XER
STP,XAF
SUR,XLM
SVK,XE25
SVN,XE25
SWE,XE25
SWZ,XAF
SXM,#N/A
SYC,XAF
SYR,XME
TCA,XLM
TCD,XAF
TGO,XAF
THA,XSE
TJK,CIS
TKM,CIS
TLS,XSE
TON,XSA
TTO,XLM
TUN,XNF
TUR,TUR
TUV,XSA
TWN,XSE
TZA,XAF
UGA,XAF
UKR,CIS
URY,XLM
USA,USA
UZB,CIS
VCT,XLM
VEN,XLM
VNM,XSE
VUT,XSA
WSM,XSA
YEM,XME
ZAF,XAF
ZMB,XAF
ZWE,XAF
