model;Native Region Name;iso;Country;;;
CA;Central America;ABW;Aruba ;;;
CP;Caspian Sea;AFG;Afghanistan ;;;
AF;Africa (excluding South Africa);AGO;Angola ;;;
CA;Central America;AIA;Anguilla ;;;
EU;Europe;ALA;Åland Islands ;;;
WE;Rest of Europe;ALB;Albania ;;;
EU;Europe;AND;Andorra ;;;
CA;Central America;ANT;Netherlands Antilles ;;;
ME;Middle East;ARE;United Arab Emirates ;;;
SM;South America;ARG;Argentina ;;;
CP;Caspian Sea;ARM;Armenia ;;;
US;United States;ASM;American Samoa ;;;
RA;Rest of Asia and Oceania;ATA;Antarctica ;;;
RA;Rest of Asia and Oceania;ATF;French Southern Territories ;;;
CA;Central America;ATG;Antigua and Barbuda ;;;
AU;Australia & New Zealand;AUS;Australia ;;;
EU;Europe;AUT;Austria ;;;
CP;Caspian Sea;AZE;Azerbaijan ;;;
AF;Africa (excluding South Africa);BDI;Burundi ;;;
EU;Europe;BEL;Belgium ;;;
AF;Africa (excluding South Africa);BEN;Benin ;;;
AF;Africa (excluding South Africa);BFA;Burkina Faso ;;;
RA;Rest of Asia and Oceania;BGD;Bangladesh ;;;
EU;Europe;BGR;Bulgaria ;;;
ME;Middle East;BHR;Bahrain ;;;
CA;Central America;BHS;Bahamas ;;;
WE;Rest of Europe;BIH;Bosnia and Herzegovina ;;;
CA;Central America;BLM;Saint Barthélemy ;;;
WE;Rest of Europe;BLR;Belarus ;;;
CA;Central America;BLZ;Belize ;;;
CA;Central America;BMU;Bermuda ;;;
SM;South America;BOL;Bolivia, Plurinational State of ;;;
BR;Brazil;BRA;Brazil ;;;
CA;Central America;BRB;Barbados ;;;
RA;Rest of Asia and Oceania;BRN;Brunei Darussalam ;;;
RA;Rest of Asia and Oceania;BTN;Bhutan ;;;
EU;Europe;BVT;Bouvet Island ;;;
AF;Africa (excluding South Africa);BWA;Botswana ;;;
AF;Africa (excluding South Africa);CAF;Central African Republic ;;;
CD;Canada;CAN;Canada ;;;
RA;Rest of Asia and Oceania;CCK;Cocos (Keeling) Islands ;;;
EU;Europe;CHE;Switzerland ;;;
SM;South America;CHL;Chile ;;;
CH;China;CHN;China ;;;
AF;Africa (excluding South Africa);CIV;Côte d'Ivoire ;;;
AF;Africa (excluding South Africa);CMR;Cameroon ;;;
AF;Africa (excluding South Africa);COD;Congo, the Democratic Republic of the ;;;
AF;Africa (excluding South Africa);COG;Congo ;;;
RA;Rest of Asia and Oceania;COK;Cook Islands ;;;
SM;South America;COL;Colombia ;;;
AF;Africa (excluding South Africa);COM;Comoros ;;;
AF;Africa (excluding South Africa);CPV;Cape Verde ;;;
CA;Central America;CRI;Costa Rica ;;;
CA;Central America;CUB;Cuba ;;;
RA;Rest of Asia and Oceania;CXR;Christmas Island ;;;
CA;Central America;CYM;Cayman Islands ;;;
EU;Europe;CYP;Cyprus ;;;
EU;Europe;CZE;Czech Republic ;;;
EU;Europe;DEU;Germany ;;;
AF;Africa (excluding South Africa);DJI;Djibouti ;;;
CA;Central America;DMA;Dominica ;;;
EU;Europe;DNK;Denmark ;;;
CA;Central America;DOM;Dominican Republic ;;;
AF;Africa (excluding South Africa);DZA;Algeria ;;;
SM;South America;ECU;Ecuador ;;;
AF;Africa (excluding South Africa);EGY;Egypt ;;;
AF;Africa (excluding South Africa);ERI;Eritrea ;;;
AF;Africa (excluding South Africa);ESH;Western Sahara ;;;
EU;Europe;ESP;Spain ;;;
EU;Europe;EST;Estonia ;;;
AF;Africa (excluding South Africa);ETH;Ethiopia ;;;
EU;Europe;FIN;Finland ;;;
RA;Rest of Asia and Oceania;FJI;Fiji ;;;
SM;South America;FLK;Falkland Islands (Malvinas) ;;;
EU;Europe;FRA;France ;;;
EU;Europe;FRO;Faroe Islands ;;;
RA;Rest of Asia and Oceania;FSM;Micronesia, Federated States of ;;;
AF;Africa (excluding South Africa);GAB;Gabon ;;;
EU;Europe;GBR;United Kingdom ;;;
CP;Caspian Sea;GEO;Georgia ;;;
EU;Europe;GGY;Guernsey ;;;
AF;Africa (excluding South Africa);GHA;Ghana ;;;
EU;Europe;GIB;Gibraltar ;;;
AF;Africa (excluding South Africa);GIN;Guinea ;;;
CA;Central America;GLP;Guadeloupe ;;;
AF;Africa (excluding South Africa);GMB;Gambia ;;;
AF;Africa (excluding South Africa);GNB;Guinea-Bissau ;;;
AF;Africa (excluding South Africa);GNQ;Equatorial Guinea ;;;
EU;Europe;GRC;Greece ;;;
CA;Central America;GRD;Grenada ;;;
EU;Europe;GRL;Greenland ;;;
CA;Central America;GTM;Guatemala ;;;
CA;Central America;GUF;French Guiana ;;;
RA;Rest of Asia and Oceania;GUM;Guam ;;;
CA;Central America;GUY;Guyana ;;;
CH;China;HKG;Hong Kong ;;;
RA;Rest of Asia and Oceania;HMD;Heard Island and McDonald Islands ;;;
CA;Central America;HND;Honduras ;;;
WE;Rest of Europe;HRV;Croatia ;;;
CA;Central America;HTI;Haiti ;;;
EU;Europe;HUN;Hungary ;;;
RA;Rest of Asia and Oceania;IDN;Indonesia ;;;
EU;Europe;IMN;Isle of Man ;;;
IN;India;IND;India ;;;
RA;Rest of Asia and Oceania;IOT;British Indian Ocean Territory ;;;
EU;Europe;IRL;Ireland ;;;
ME;Middle East;IRN;Iran, Islamic Republic of ;;;
ME;Middle East;IRQ;Iraq ;;;
EU;Europe;ISL;Iceland ;;;
ME;Middle East;ISR;Israel ;;;
EU;Europe;ITA;Italy ;;;
CA;Central America;JAM;Jamaica ;;;
EU;Europe;JEY;Jersey ;;;
ME;Middle East;JOR;Jordan ;;;
JP;Japan;JPN;Japan ;;;
CP;Caspian Sea;KAZ;Kazakhstan ;;;
AF;Africa (excluding South Africa);KEN;Kenya ;;;
CP;Caspian Sea;KGZ;Kyrgyzstan ;;;
RA;Rest of Asia and Oceania;KHM;Cambodia ;;;
RA;Rest of Asia and Oceania;KIR;Kiribati ;;;
CA;Central America;KNA;Saint Kitts and Nevis ;;;
KR;South Korea;KOR;Korea, Republic of ;;;
ME;Middle East;KWT;Kuwait ;;;
RA;Rest of Asia and Oceania;LAO;Lao People's Democratic Republic ;;;
ME;Middle East;LBN;Lebanon ;;;
AF;Africa (excluding South Africa);LBR;Liberia ;;;
AF;Africa (excluding South Africa);LBY;Libyan Arab Jamahiriya ;;;
CA;Central America;LCA;Saint Lucia ;;;
EU;Europe;LIE;Liechtenstein ;;;
RA;Rest of Asia and Oceania;LKA;Sri Lanka ;;;
