iso,model
abw,Central America and Caribbean
afg,South Asia
ago,Africa_Southern
aia,Central America and Caribbean
alb,Europe_Non_EU
and,EU-15
ant,Central America and Caribbean
are,Middle East
arg,Argentina
arm,Central Asia
asm,Southeast Asia
atg,Central America and Caribbean
aus,Australia_NZ
aut,EU-15
aze,Central Asia
bdi,Africa_Eastern
bel,EU-15
ben,Africa_Western
bfa,Africa_Western
bgd,South Asia
bgr,EU-12
bhr,Middle East
bhs,Central America and Caribbean
bih,Europe_Non_EU
blr,Europe_Eastern
blz,Central America and Caribbean
bmu,Central America and Caribbean
bol,South America_Southern
bra,Brazil
brb,Central America and Caribbean
brn,Southeast Asia
btn,South Asia
bwa,Africa_Southern
caf,Africa_Western
can,Canada
cck,Southeast Asia
che,European Free Trade Association
chi,EU-15
chl,South America_Southern
chn,China
civ,Africa_Western
cmr,Africa_Western
cod,Africa_Western
cog,Africa_Western
cok,Southeast Asia
col,Colombia
com,Africa_Eastern
cpv,Africa_Western
cri,Central America and Caribbean
cub,Central America and Caribbean
cuw,Central America and Caribbean
cym,Central America and Caribbean
cyp,EU-12
cxr,Southeast Asia
cze,EU-12
deu,EU-15
dji,Africa_Eastern
dma,Central America and Caribbean
dnk,EU-15
dom,Central America and Caribbean
dza,Africa_Northern
ecu,South America_Southern
egy,Africa_Northern
eri,Africa_Eastern
esh,Africa_Northern
esp,EU-15
est,EU-12
eth,Africa_Eastern
fin,EU-15
fji,Southeast Asia
flk,EU-15
fra,EU-15
fro,EU-15
fsm,Southeast Asia
gab,Africa_Western
gbr,EU-15
geo,Central Asia
gha,Africa_Western
gib,EU-15
gin,Africa_Western
glp,Central America and Caribbean
gmb,Africa_Western
gnb,Africa_Western
gnq,Africa_Western
grc,EU-15
grd,Central America and Caribbean
grl,EU-15
gtm,Central America and Caribbean
guf,South America_Northern
gum,Southeast Asia
guy,South America_Northern
hkg,China
hnd,Central America and Caribbean
hrv,Europe_Non_EU
hti,Central America and Caribbean
hun,EU-12
idn,Indonesia
imn,EU-15
ind,India
irl,EU-15
irn,Middle East
irq,Middle East
isl,European Free Trade Association
isr,Middle East
ita,EU-15
jam,Central America and Caribbean
jor,Middle East
jpn,Japan
kaz,Central Asia
ken,Africa_Eastern
kgz,Central Asia
khm,Southeast Asia
kir,Southeast Asia
kna,Central America and Caribbean
kor,South Korea
kwt,Middle East
lao,Southeast Asia
lbn,Middle East
lbr,Africa_Western
lby,Africa_Northern
lca,Central America and Caribbean
lie,European Free Trade Association
lka,South Asia
lso,Africa_Southern
ltu,EU-12
lux,EU-15
lva,EU-12
mac,China
mar,Africa_Northern
mco,EU-15
mda,Europe_Eastern
mdg,Africa_Eastern
mdv,South Asia
mex,Mexico
mhl,Southeast Asia
mkd,Europe_Non_EU
mli,Africa_Western
mlt,EU-12
mmr,Southeast Asia
mne,Europe_Non_EU
mng,Central Asia
mnp,Southeast Asia
moz,Africa_Southern
mrt,Africa_Western
msr,Central America and Caribbean
mtq,Central America and Caribbean
mus,Africa_Eastern
mwi,Africa_Southern
mys,Southeast Asia
myt,Southeast Asia
nam,Africa_Southern
ncl,Southeast Asia
ner,Africa_Western
nfk,Southeast Asia
nga,Africa_Western
nic,Central America and Caribbean
niu,Southeast Asia
nld,EU-15
nor,European Free Trade Association
npl,South Asia
nru,Southeast Asia
nzl,Australia_NZ
omn,Middle East
pak,Pakistan
pan,Central America and Caribbean
pci,Southeast Asia
pcn,Southeast Asia
per,South America_Southern
phl,Southeast Asia
plw,Southeast Asia
png,Southeast Asia
pol,EU-12
pri,USA
prk,Southeast Asia
prt,EU-15
pry,South America_Southern
pse,Middle East
pyf,Southeast Asia
qat,Middle East
reu,Africa_Eastern
rou,EU-12
rus,Russia
rwa,Africa_Eastern
sau,Middle East
scg,Europe_Non_EU
sdn,Africa_Eastern
sen,Africa_Western
sgp,Southeast Asia
shn,EU-15
sjm,European Free Trade Association
slb,Southeast Asia
sle,Africa_Western
slv,Central America and Caribbean
smr,EU-15
som,Africa_Eastern
spm,EU-15
srb,Europe_Non_EU
ssd,Africa_Eastern
stp,Africa_Western
sur,South America_Northern
svk,EU-12
svn,EU-12
swe,EU-15
swz,Africa_Southern
syc,Southeast Asia
syr,Middle East
tca,EU-15
tcd,Africa_Western
tgo,Africa_Western
tha,Southeast Asia
tjk,Central Asia
tkl,Southeast Asia
tkm,Central Asia
tls,Southeast Asia
ton,Southeast Asia
tto,Central America and Caribbean
tun,Africa_Northern
tur,Europe_Non_EU
tuv,Southeast Asia
twn,Taiwan
tza,Africa_Southern
uga,Africa_Eastern
ukr,Europe_Eastern
ury,South America_Southern
usa,USA
uzb,Central Asia
vat,EU-15
vct,Central America and Caribbean
ven,South America_Northern
vgb,EU-15
vir,USA
vnm,Southeast Asia
vut,Southeast Asia
wlf,EU-15
wsm,Southeast Asia
yem,Middle East
yug,Europe_Non_EU
zaf,South Africa
zmb,Africa_Southern
zwe,Africa_Southern
