model;Native Region Name;Country ;iso
ROW;Rest of the World;AFGANISTAN                              ;AFG
ROW;Rest of the World;ALBANIA                                 ;ALB
REP;Rest of energy producing countries;ALGERIA                                 ;DZA
ROW;Rest of the World;AMERICAN SAMOA                          ;ASM
ROW;Rest of the World;ANDORRA                                 ;AND
ROW;Rest of the World;ANGOLA                                  ;AGO
ROW;Rest of the World;ANGUILLA                                ;AIA
ROW;Rest of the World;ANTARCTICA                              ;ATA
ROW;Rest of the World;ANTIGUA AND BARBUDA                       ;ATG
ARG;Argentina;ARGENTINA                               ;ARG
ROW;Rest of the World;ARMENIA                                 ;ARM
ROW;Rest of the World;ARUBA                                   ;ABW
OCE;Oceania;AUSTRALIA                               ;AUS
EU28;EU28;AUSTRIA                                 ;AUT
REP;Rest of energy producing countries;AZERBAIJAN                              ;AZE
ROW;Rest of the World;BAHAMAS                                 ;BHS
ROW;Rest of the World;BAHRAIN                                 ;BHR
ROW;Rest of the World;BANGLADESH                              ;BGD
ROW;Rest of the World;BARBADOS                                ;BRB
REU;Rest of Europe;BELARUS                                 ;BLR
EU28;EU28;BELGIUM                                 ;BEL
ROW;Rest of the World;BELIZE                                  ;BLZ
ROW;Rest of the World;BENIN                                   ;BEN
ROW;Rest of the World;BERMUDA                                 ;BMU
ROW;Rest of the World;BHUTAN                                  ;BTN
ROW;Rest of the World;BOLIVIA                                 ;BOL
REU;Rest of Europe;BOSNIA AND HERZEGOVINA                    ;BIH
ROW;Rest of the World;BOTSWANA                                ;BWA
ROW;Rest of the World;BOUVET ISLAND;BVT
BRA;Brazil;BRAZIL                                  ;BRA
ROW;Rest of the World;BRITISH INDIAN OCEAN TERRITORY;IOT
ROW;Rest of the World;BRUNEI DARUSSALAM                       ;BRN
EU28;EU28;BULGARIA                                ;BGR
ROW;Rest of the World;BURKINA FASO                            ;BFA
ROW;Rest of the World;BURUNDI                                 ;BDI
ROW;Rest of the World;CAMBODIA                                ;KHM
ROW;Rest of the World;CAMEROON                                ;CMR
CAN;Canada;CANADA                                  ;CAN
ROW;Rest of the World;CAPE VERDE                              ;CPV
ROW;Rest of the World;CAYMAN ISLANDS                          ;CYM
ROW;Rest of the World;CENTRAL AFRICAN REPUBLIC                ;CAF
ROW;Rest of the World;CHAD                                    ;TCD
ROW;Rest of the World;CHILE                                   ;CHL
CHN;China;CHINA                                   ;CHN
ROW;Rest of the World;CHRISTMAS ISLAND                        ;CXR
ROW;Rest of the World;COCOS (KEELING) ISLANDS                 ;CCK
ROW;Rest of the World;COLOMBIA                                ;COL
ROW;Rest of the World;COMOROS                                 ;COM
ROW;Rest of the World;CONGO                                   ;COG
ROW;Rest of the World;CONGO, THE DEMOCRATIC REPUBLIC OF THE;COD
ROW;Rest of the World;COOK ISLANDS                            ;COK
ROW;Rest of the World;COSTA RICA                              ;CRI
ROW;Rest of the World;CÔTE D'IVOIRE;CIV
EU28;EU28;CROATIA;HRV
ROW;Rest of the World;CUBA                                    ;CUB
EU28;EU28;CYPRUS                                  ;CYP
EU28;EU28;CZECH REPUBLIC                          ;CZE
EU28;EU28;DENMARK                                 ;DNK
ROW;Rest of the World;DJIBOUTI                                ;DJI
ROW;Rest of the World;DOMINICA                                ;DMA
ROW;Rest of the World;DOMINICAN REPUBLIC                      ;DOM
ROW;Rest of the World;EAST TIMOR;TLS
ROW;Rest of the World;ECUADOR                                 ;ECU
ROW;Rest of the World;EGYPT                                   ;EGY
ROW;Rest of the World;EL SALVADOR                             ;SLV
ROW;Rest of the World;EQUATORIAL GUINEA                       ;GNQ
ROW;Rest of the World;ERITREA                                 ;ERI
EU28;EU28;ESTONIA                                 ;EST
ROW;Rest of the World;ETHIOPIA                                ;ETH
ROW;Rest of the World;FALKLANDS ISLANDS (MALVINAS)            ;FLK
ROW;Rest of the World;FAROE ISLANDS;FRO
ROW;Rest of the World;FIJI                                    ;FJI
EU28;EU28;FINLAND                                 ;FIN
EU28;EU28;FRANCE                                  ;FRA
ROW;Rest of the World;FRENCH GUIANA                           ;GUF
ROW;Rest of the World;FRENCH POLYNESIA;PYF
ROW;Rest of the World;FRENCH SOUTHERN TERRITORIES             ;ATF
ROW;Rest of the World;GABON                                   ;GAB
ROW;Rest of the World;GAMBIA                                  ;GMB
ROW;Rest of the World;GEORGIA                                 ;GEO
EU28;EU28;GERMANY                                 ;DEU
ROW;Rest of the World;GHANA                                   ;GHA
ROW;Rest of the World;GIBRALTAR                               ;GIB
EU28;EU28;GREECE                                  ;GRC
ROW;Rest of the World;GREENLAND                               ;GRL
ROW;Rest of the World;GRENADA                                 ;GRD
ROW;Rest of the World;GUADELOUPE                              ;GLP
ROW;Rest of the World;GUAM                                    ;GUM
ROW;Rest of the World;GUATEMALA                               ;GTM
ROW;Rest of the World;GUINEA                                  ;GIN
ROW;Rest of the World;GUINEA-BISSAU                           ;GNB
ROW;Rest of the World;GUYANA                                  ;GUY
ROW;Rest of the World;HAITI                                   ;HTI
ROW;Rest of the World;HEARD ISLAND AND MCDONALD ISLANDS         ;HMD
ROW;Rest of the World;HOLY SEE (VATICAN CITY STATE);VAT
ROW;Rest of the World;HONDURAS                                ;HND
ROW;Rest of the World;HONG KONG                               ;HKG
EU28;EU28;HUNGARY                                 ;HUN
REU;Rest of Europe;ICELAND                                 ;ISL
IND;India;INDIA                                   ;IND
IDN;Indonesia;INDONESIA                               ;IDN
REP;Rest of energy producing countries;IRAN, ISLAMIC REPUBLIC OF;IRN
REP;Rest of energy producing countries;IRAQ                                    ;IRQ
EU28;EU28;IRELAND                                 ;IRL
ROW;Rest of the World;ISRAEL                                  ;ISR
EU28;EU28;ITALY                                   ;ITA
ROW;Rest of the World;JAMAICA                                 ;JAM
JPN;Japan;JAPAN                                   ;JPN
REP;Rest of energy producing countries;JORDAN                                  ;JOR
ROW;Rest of the World;KAZAKSTAN;KAZ
ROW;Rest of the World;KENYA                                   ;KEN
ROW;Rest of the World;KIRIBATI                                ;KIR
ROW;Rest of the World;KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF;PRK
KOR;South Korea;KOREA, REPUBLIC OF;KOR
REP;Rest of energy producing countries;KUWAIT                                  ;KWT
ROW;Rest of the World;KYRGYZSTAN                              ;KGZ
ROW;Rest of the World;LAO PEOPLE'S DEMOCRATIC REPUBLIC;LAO
EU28;EU28;LATVIA                                  ;LVA
