model,Country ,iso,Region code 
RSAS,AFGANISTAN,AFG,25
CEU,Albania,ALB,12
NAF,ALGERIA,DZA,7
OCE,AMERICAN SAMOA,ASM,24
WEU,ANDORRA,AND,11
RSAF,ANGOLA,AGO,26
RCAM,ANGUILLA,AIA,4
N/A,ANTARCTICA,ATA,
N/A,ANTIGUA AND BARBUDA,ATG,
RSAM,ARGENTINA,ARG,6
RUS,ARMENIA,ARM,16
RCAM,ARUBA,ABW,4
OCE,AUSTRALIA,AUS,24
WEU,AUSTRIA,AUT,11
RUS,AZERBAIJAN,AZE,16
RCAM,BAHAMAS,BHS,4
ME,BAHRAIN,BHR,17
RSAS,BANGLADESH,BGD,25
RCAM,BARBADOS,BRB,4
UKR,BELARUS,BLR,14
WEU,BELGIUM,BEL,11
RCAM,BELIZE,BLZ,4
WAF,BENIN,BEN,8
RCAM,BERMUDA,BMU,4
RSAS,BHUTAN,BTN,25
RSAM,BOLIVIA,BOL,6
CEU,BOSNIA AND HERZEGOVINA,BIH,12
RSAF,BOTSWANA,BWA,26
N/A,BOUVET ISLAND,BVT,
BRA,BRAZIL,BRA,5
N/A,BRITISH INDIAN OCEAN TERRITORY,IOT,
SEAS,BRUNEI DARUSSALAM,BRN,21
CEU,BULGARIA,BGR,12
WAF,BURKINA FASO,BFA,8
EAF,BURUNDI,BDI,9
SEAS,CAMBODIA,KHM,21
WAF,CAMEROON,CMR,8
CAN,CANADA,CAN,1
WAF,CAPE VERDE,CPV,8
RCAM,CAYMAN ISLANDS,CYM,4
WAF,CENTRAL AFRICAN REPUBLIC,CAF,8
WAF,CHAD,TCD,8
RSAM,CHILE,CHL,6
CHN,CHINA,CHN,20
N/A,CHRISTMAS ISLAND,CXR,
N/A,COCOS (KEELING) ISLANDS,CCK,
RSAM,COLOMBIA,COL,6
EAF,COMOROS,COM,9
WAF,CONGO,COG,8
WAF,CONGO THE DEMOCRATIC REPUBLIC OF THE,COD,8
OCE,COOK ISLANDS,COK,24
RCAM,COSTA RICA,CRI,4
WAF,CÔTE D'IVOIRE,CIV,8
CEU,CROATIA,HRV,12
RCAM,CUBA,CUB,4
CEU,CYPRUS,CYP,12
CEU,CZECH REPUBLIC,CZE,12
WEU,DENMARK,DNK,11
EAF,DJIBOUTI,DJI,9
RCAM,DOMINICA,DMA,4
RCAM,DOMINICAN REPUBLIC,DOM,4
SEAS,EAST TIMOR,TLS,21
RSAM,ECUADOR,ECU,6
NAF,EGYPT,EGY,7
RCAM,EL SALVADOR,SLV,4
WAF,EQUATORIAL GUINEA,GNQ,8
EAF,ERITREA,ERI,9
CEU,ESTONIA,EST,12
EAF,ETHIOPIA,ETH,9
RSAM,FALKLANDS ISLANDS (MALVINAS),FLK,6
WEU,FAROE ISLANDS,FRO,11
OCE,FIJI,FJI,24
WEU,FINLAND,FIN,11
WEU,FRANCE,FRA,11
RSAM,FRENCH GUIANA,GUF,6
OCE,FRENCH POLYNESIA,PYF,24
N/A,FRENCH SOUTHERN TERRITORIES,ATF,
WAF,GABON,GAB,8
WAF,GAMBIA,GMB,8
RUS,GEORGIA,GEO,16
WEU,GERMANY,DEU,11
WAF,GHANA,GHA,8
WEU,GIBRALTAR,GIB,11
WEU,GREECE,GRC,11
N/A,GREENLAND,GRL,
RCAM,GRENADA,GRD,4
RCAM,GUADELOUPE,GLP,4
N/A,GUAM,GUM,
RCAM,GUATEMALA,GTM,4
WAF,GUINEA,GIN,8
WAF,GUINEA-BISSAU,GNB,8
