model;Native Region Name;iso;Country
LACA;Latin america and Caraibes (except Brasil and Mexico);ABW;Aruba 
SASIA;South Asia;AFG;Afghanistan 
SSA;Sub-Saharian African (except South Africa);AGO;Angola 
LACA;Latin america and Caraibes (except Brasil and Mexico);AIA;Anguilla 
EUROPE;Europe;ALA;Åland Islands 
EUROPE;Europe;ALB;Albania 
EUROPE;Europe;AND;Andorra 
LACA;Latin america and Caraibes (except Brasil and Mexico);ANT;Netherlands Antilles 
MENA;Moyen-Orient and North Africa;ARE;United Arab Emirates 
LACA;Latin america and Caraibes (except Brasil and Mexico);ARG;Argentina 
TE;Transition Economies (including Russia);ARM;Armenia 
OCEANIA;Oceania;ASM;American Samoa 
LACA;Latin america and Caraibes (except Brasil and Mexico);ATA;Antarctica 
SSA;Sub-Saharian African (except South Africa);ATF;French Southern Territories 
LACA;Latin america and Caraibes (except Brasil and Mexico);ATG;Antigua and Barbuda 
OCEANIA;Oceania;AUS;Australia 
EUROPE;Europe;AUT;Austria 
TE;Transition Economies (including Russia);AZE;Azerbaijan 
SSA;Sub-Saharian African (except South Africa);BDI;Burundi 
EUROPE;Europe;BEL;Belgium 
SSA;Sub-Saharian African (except South Africa);BEN;Benin 
SSA;Sub-Saharian African (except South Africa);BFA;Burkina Faso 
SASIA;South Asia;BGD;Bangladesh 
EUROPE;Europe;BGR;Bulgaria 
MENA;Moyen-Orient and North Africa;BHR;Bahrain 
LACA;Latin america and Caraibes (except Brasil and Mexico);BHS;Bahamas 
EUROPE;Europe;BIH;Bosnia and Herzegovina 
LACA;Latin america and Caraibes (except Brasil and Mexico);BLM;Saint Barthélemy 
TE;Transition Economies (including Russia);BLR;Belarus 
LACA;Latin america and Caraibes (except Brasil and Mexico);BLZ;Belize 
LACA;Latin america and Caraibes (except Brasil and Mexico);BMU;Bermuda 
LACA;Latin america and Caraibes (except Brasil and Mexico);BOL;Bolivia, Plurinational State of 
BRAZIL;Brazil;BRA;Brazil 
LACA;Latin america and Caraibes (except Brasil and Mexico);BRB;Barbados 
SEASIA;South-East Asia;BRN;Brunei Darussalam 
SASIA;South Asia;BTN;Bhutan 
SSA;Sub-Saharian African (except South Africa);BVT;Bouvet Island 
SSA;Sub-Saharian African (except South Africa);BWA;Botswana 
SSA;Sub-Saharian African (except South Africa);CAF;Central African Republic 
CANADA;Canada;CAN;Canada 
SEASIA;South-East Asia;CCK;Cocos (Keeling) Islands 
EUROPE;Europe;CHE;Switzerland 
LACA;Latin america and Caraibes (except Brasil and Mexico);CHL;Chile 
CHINA;China;CHN;China 
SSA;Sub-Saharian African (except South Africa);CIV;Côte d'Ivoire 
SSA;Sub-Saharian African (except South Africa);CMR;Cameroon 
SSA;Sub-Saharian African (except South Africa);COD;Congo, the Democratic Republic of the 
SSA;Sub-Saharian African (except South Africa);COG;Congo 
OCEANIA;Oceania;COK;Cook Islands 
LACA;Latin america and Caraibes (except Brasil and Mexico);COL;Colombia 
SSA;Sub-Saharian African (except South Africa);COM;Comoros 
SSA;Sub-Saharian African (except South Africa);CPV;Cape Verde 
LACA;Latin america and Caraibes (except Brasil and Mexico);CRI;Costa Rica 
LACA;Latin america and Caraibes (except Brasil and Mexico);CUB;Cuba 
OCEANIA;Oceania;CXR;Christmas Island 
LACA;Latin america and Caraibes (except Brasil and Mexico);CYM;Cayman Islands 
EUROPE;Europe;CYP;Cyprus 
EUROPE;Europe;CZE;Czech Republic 
EUROPE;Europe;DEU;Germany 
SSA;Sub-Saharian African (except South Africa);DJI;Djibouti 
LACA;Latin america and Caraibes (except Brasil and Mexico);DMA;Dominica 
EUROPE;Europe;DNK;Denmark 
LACA;Latin america and Caraibes (except Brasil and Mexico);DOM;Dominican Republic 
MENA;Moyen-Orient and North Africa;DZA;Algeria 
LACA;Latin america and Caraibes (except Brasil and Mexico);ECU;Ecuador 
MENA;Moyen-Orient and North Africa;EGY;Egypt 
SSA;Sub-Saharian African (except South Africa);ERI;Eritrea 
MENA;Moyen-Orient and North Africa;ESH;Western Sahara 
EUROPE;Europe;ESP;Spain 
EUROPE;Europe;EST;Estonia 
